Altium Designer Pick and Place Locations
C:\Users\gweni\Downloads\PCB_Project_H05R1\Project Outputs for H05R1\Pick Place for H05R1.csv

========================================================================================================================
File Design Information:

Date:       01/12/25
Time:       12:01
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U5","STUSB4500QTR","TopLayer","FP-QFN-24-EP_4x4-MFG","13,5604","1,2695","270","4.1V~22V USB 2.0 I2C Controllers Interface ICs STUSB45 Controller 24-VFQFN Exposed Pad"
"U4","AP7333-33SAG-7","TopLayer","FP-SOT23-MFG","5,3078","-4,1175","0","IC REG LINEAR 3.3V 300MA SOT23-3"
"U3","BQ25895RTWR","TopLayer","FP-RTW0024H-IPC_B","8,0489","5,0894","270","IC NVDC CHARGER I2C 24WQFN"
"U2","TPD2EUSB30ADRTR","TopLayer","DRT0003A","11,6296","-6,4665","0","ESD / Surge Solution for High Speed, Low Voltage Interface, 2 Channels, -40 to +85 degC, 3-pin SOT (DRT), Green (RoHS & no Sb/Br)"
"U5_SDA","5015","TopLayer","FP-5015-MFG","7,7289","-7,3421","180","PC TEST POINT MINIATURE"
"U5_SCL","5015","TopLayer","FP-5015-MFG","7,7687","-10,4866","180","PC TEST POINT MINIATURE"
"U3_SDA","5015","TopLayer","FP-5015-MFG","21,9276","-7,4509","180","PC TEST POINT MINIATURE"
"U3_SCL","5015","TopLayer","FP-5015-MFG","21,8405","-10,5886","180","PC TEST POINT MINIATURE"
"R9","100O","TopLayer","FP-RC0603-0_55-MFG","10,3156","-1,5117","90",""
"R8","10kO","TopLayer","FP-RC0603-0_55-IPC_C","-3,2550","-2,2286","0","RES 10K OHM 1% 1/10W 0603"
"R7","10kO","TopLayer","FP-RC0603-0_55-IPC_C","-3,2020","-0,2891","0","RES 10K OHM 1% 1/10W 0603"
"R6","1kO","TopLayer","FP-RC0603-0_55-IPC_C","3,5806","9,0880","90","RES 1K OHM 1% 1/10W 0603"
